epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.893,1.14068,0.84159,1.01863,0.79358,0.77375,0.85515,0.55152,1.17551,1.02055,1.02619,0.0679706,0.000323529,0.000323529
2,390.541,1.10736,0.76425,1.00378,0.88178,0.86446,0.9292,0.65408,1.09825,0.92635,0.99442,0.0349115,0.000597745,0.000597745
3,486.543,1.10189,0.71193,1.00423,0.88364,0.87528,0.94153,0.66061,1.10375,0.77487,0.99695,0.00179235,0.000811961,0.000811961
4,616.568,1.08444,0.69129,0.99239,0.83893,0.87273,0.91931,0.64459,1.09576,0.73875,1.00366,0.00073,0.00073,0.00073
5,705.768,1.05551,0.66794,0.98778,0.85051,0.91355,0.94532,0.6702,1.04089,0.67565,0.98023,0.00064,0.00064,0.00064
6,834.606,1.0289,0.63259,0.97589,0.89222,0.90994,0.9615,0.68133,1.05814,0.63189,0.99073,0.00055,0.00055,0.00055
7,968.479,1.02087,0.61619,0.97531,0.86083,0.90822,0.94881,0.6905,1.01596,0.61827,0.97326,0.00046,0.00046,0.00046
8,1073.9,1.00143,0.5831,0.96484,0.88388,0.91569,0.9624,0.70771,1.00478,0.58104,0.96506,0.00037,0.00037,0.00037
9,1183.85,0.98737,0.57535,0.95909,0.88619,0.93077,0.96327,0.69943,1.01741,0.57393,0.96897,0.00028,0.00028,0.00028
10,1282.26,0.97482,0.55576,0.9541,0.89563,0.9317,0.96745,0.71487,0.98701,0.54751,0.95839,0.00019,0.00019,0.00019
